loop,utt,utt_start_s,utt_end_s,ref_end_s,appear_s,lag_s,words_matched,target
0,3,30.600,46.120,46.120,48.120,2.000,3,grounds carriage pair
0,4,46.120,60.795,60.795,62.795,2.000,3,empty corn bags
0,5,60.795,63.435,63.435,65.435,2.000,3,left hand window
0,6,63.435,72.525,72.525,74.525,2.000,3,full coloured rags
0,7,72.525,86.345,86.345,88.345,2.000,3,total loss nose
0,8,86.345,89.045,89.045,91.045,2.000,3,house plain now
0,9,89.045,120.695,120.695,122.695,2.000,3,much body possible
0,10,120.695,135.100,135.100,137.100,2.000,3,latest treddleston gossip
0,11,135.100,165.715,165.715,167.715,2.000,3,shone like jasper
0,12,165.715,181.975,181.975,183.975,2.000,3,shapen light footed
0,13,181.975,198.105,198.105,200.105,2.000,3,suggestion martha mary
0,14,198.105,212.355,212.355,214.355,2.000,3,where left off
0,15,212.355,225.350,225.350,227.350,2.000,3,housemaid unusual severity
0,16,225.350,240.365,240.365,242.365,2.000,3,till milking time
0,17,240.365,242.625,242.625,244.625,2.000,2,time spinning indeed
0,18,242.625,245.460,245.460,247.460,2.000,3,knew equals gallowsness
0,19,245.460,248.615,248.615,250.615,2.000,3,floor like know
0,20,248.615,251.275,251.275,253.275,2.000,3,wool whittaws indeed
0,21,251.275,253.710,253.710,255.710,2.000,3,youd like doing
0,22,253.710,259.045,259.045,261.045,2.000,3,go headlongs ruin
0,23,259.045,261.325,261.325,263.325,2.000,3,mister ottleys indeed
0,24,261.325,266.505,266.505,268.505,2.000,3,after time put
0,25,266.505,271.775,271.775,273.775,2.000,3,put down warm
0,26,271.775,275.370,275.370,277.370,2.000,3,bless sweet face
0,27,275.370,278.195,278.195,280.195,2.000,3,ironing things away
0,28,278.195,283.825,283.825,285.825,2.000,3,see de whittawd
0,29,283.825,290.665,290.665,292.665,2.000,3,carrying away iron
0,30,290.665,299.190,299.190,301.190,2.000,3,fallen blue stream
0,31,299.190,315.310,315.310,317.310,2.000,3,white suckling pig
0,32,315.310,318.090,318.090,320.090,2.000,3,too aunt rachel
0,33,318.090,321.330,321.330,323.330,2.000,3,same sort way
0,34,321.330,334.195,334.195,336.195,2.000,3,sure ive found
0,35,334.195,342.185,342.185,344.185,2.000,3,towelling isnt made
0,36,342.185,345.760,345.760,347.760,2.000,3,aunt said dinah
0,37,345.760,352.675,352.675,354.675,2.000,3,forsake work families
0,38,352.675,363.165,363.165,365.165,2.000,3,according fits calls
0,39,363.165,383.415,383.415,385.415,2.000,3,running help comfort
0,40,383.415,389.695,389.695,391.695,2.000,3,anything ive done
0,41,389.695,392.080,392.080,394.080,2.000,3,preach without direction
0,42,392.080,393.500,393.500,394.080,0.580,2,without direction direction
0,43,393.500,395.955,395.955,397.955,2.000,3,hanna common patience
0,44,395.955,403.305,403.305,405.305,2.000,3,plain meant come
0,45,403.305,406.825,406.825,408.825,2.000,3,irwine stately cordiality
0,46,406.825,409.830,409.830,411.830,2.000,3,said missus poyser
0,47,409.830,411.735,411.735,413.735,2.000,2,poyser delight kitchen
0,48,411.735,413.945,413.945,415.945,2.000,2,kitchen poyser home
0,49,413.945,420.335,420.335,422.335,2.000,3,open dairy door
0,50,420.335,426.460,426.460,428.460,2.000,3,factor about wool
0,51,426.460,430.505,430.505,432.505,2.000,3,hed any use
0,52,430.505,435.815,435.815,437.815,2.000,3,message about shepherd
0,53,435.815,442.345,442.345,444.345,2.000,3,consultation about horses
0,54,442.345,445.740,445.740,447.740,2.000,3,farm send minute
0,55,445.740,451.420,451.420,453.420,2.000,3,alarmed wouldnt like
0,56,451.420,454.075,454.075,456.075,2.000,3,about than sir
0,57,454.075,457.915,457.915,459.915,2.000,3,turn such place
0,58,457.915,467.995,467.995,469.995,2.000,3,theres kingdom beat
0,59,467.995,472.925,472.925,474.925,2.000,3,dairy missus poyser
0,60,472.925,482.935,482.935,484.935,2.000,3,opinion appearance dairy
0,61,482.935,485.645,485.645,487.645,2.000,3,doubt capital order
1,1,485.645,508.215,508.215,510.215,2.000,3,windows door place
1,2,508.215,516.245,516.245,518.245,2.000,3,gate never opened
1,3,516.245,531.765,531.765,533.765,2.000,3,grounds carriage pair
1,4,531.765,546.440,546.440,548.440,2.000,3,empty corn bags
1,5,546.440,549.080,549.080,551.080,2.000,3,left hand window
1,6,549.080,558.170,558.170,560.170,2.000,3,full coloured rags
1,7,558.170,571.990,571.990,573.990,2.000,3,total loss nose
1,8,571.990,574.690,574.690,576.690,2.000,3,house plain now
1,9,574.690,606.340,606.340,608.340,2.000,3,much body possible
1,10,606.340,620.745,620.745,622.745,2.000,3,latest treddleston gossip
1,11,620.745,651.360,651.360,653.360,2.000,3,shone like jasper
1,12,651.360,667.620,667.620,669.620,2.000,3,shapen light footed
1,13,667.620,683.750,683.750,685.750,2.000,3,suggestion martha mary
1,14,683.750,698.000,698.000,700.000,2.000,3,where left off
1,15,698.000,710.995,710.995,712.995,2.000,3,housemaid unusual severity
1,16,710.995,726.010,726.010,728.010,2.000,3,till milking time
1,17,726.010,728.270,728.270,730.270,2.000,2,time spinning indeed
1,18,728.270,731.105,731.105,733.105,2.000,3,knew equals gallowsness
1,19,731.105,734.260,734.260,736.260,2.000,3,floor like know
1,20,734.260,736.920,736.920,738.920,2.000,3,wool whittaws indeed
1,21,736.920,739.355,739.355,741.355,2.000,3,youd like doing
1,22,739.355,744.690,744.690,746.690,2.000,3,go headlongs ruin
1,23,744.690,746.970,746.970,748.970,2.000,3,mister ottleys indeed
1,24,746.970,752.150,752.150,754.150,2.000,3,after time put
1,25,752.150,757.420,757.420,759.420,2.000,3,put down warm
1,26,757.420,761.015,761.015,763.015,2.000,3,bless sweet face
1,27,761.015,763.840,763.840,765.840,2.000,3,ironing things away
1,28,763.840,769.470,769.470,771.470,2.000,3,see de whittawd
1,29,769.470,776.310,776.310,778.310,2.000,3,carrying away iron
1,30,776.310,784.835,784.835,786.835,2.000,3,fallen blue stream
1,31,784.835,800.955,800.955,802.955,2.000,3,white suckling pig
1,32,800.955,803.735,803.735,805.735,2.000,3,too aunt rachel
1,33,803.735,806.975,806.975,808.975,2.000,3,same sort way
1,34,806.975,819.840,819.840,821.840,2.000,3,sure ive found
1,35,819.840,827.830,827.830,829.830,2.000,3,towelling isnt made
1,36,827.830,831.405,831.405,833.405,2.000,3,aunt said dinah
1,37,831.405,838.320,838.320,840.320,2.000,3,forsake work families
1,38,838.320,848.810,848.810,850.810,2.000,3,according fits calls
1,39,848.810,869.060,869.060,871.060,2.000,3,running help comfort
1,40,869.060,875.340,875.340,877.340,2.000,3,anything ive done
1,41,875.340,877.725,877.725,879.725,2.000,3,preach without direction
1,42,877.725,879.145,879.145,879.725,0.580,2,without direction direction
1,43,879.145,881.600,881.600,883.600,2.000,3,hanna common patience
1,44,881.600,888.950,888.950,890.950,2.000,3,plain meant come
1,45,888.950,892.470,892.470,894.470,2.000,3,irwine stately cordiality
1,46,892.470,895.475,895.475,897.475,2.000,3,said missus poyser
1,47,895.475,897.380,897.380,899.380,2.000,2,poyser delight kitchen
1,48,897.380,899.590,899.590,901.590,2.000,2,kitchen poyser home
1,49,899.590,905.980,905.980,907.980,2.000,3,open dairy door
1,50,905.980,912.105,912.105,914.105,2.000,3,factor about wool
