in_seq,out_seq,in_pts,out_pts,in_wall_ns,delay_ms
317,317,1075920,1075920,1088054595702096,200.057
327,327,1105920,1105920,1088054928394532,200.572
337,337,1135920,1135920,1088055262019756,66.627
347,347,1165920,1165920,1088055595667217,66.949
357,357,1195920,1195920,1088055928565493,200.064
367,367,1225920,1225920,1088056262102805,66.551
377,377,1255920,1255920,1088056595397042,66.833
387,387,1285920,1285920,1088056928729625,66.824
397,397,1315920,1315920,1088057263728877,65.475
407,407,1345920,1345920,1088057595410942,66.737
417,417,1375920,1375920,1088057928508495,67.091
427,427,1405920,1405920,1088058262033932,100.380
437,437,1435920,1435920,1088058595524230,100.239
447,447,1465920,1465920,1088058928595470,100.210
457,457,1495920,1495920,1088059262720167,99.347
467,467,1525920,1525920,1088059595447257,133.451
477,477,1555920,1555920,1088059928534092,138.035
487,487,1585920,1585920,1088060261822957,133.630
497,497,1615920,1615920,1088060595368169,133.303
507,507,1645920,1645920,1088060928771015,166.892
517,517,1675920,1675920,1088061262224820,166.707
527,527,1705920,1705920,1088061595263784,200.172
537,537,1735920,1735920,1088061929189886,166.379
547,547,1765920,1765920,1088062261951983,200.385
557,557,1795920,1795920,1088062595205805,200.331
567,567,1825920,1825920,1088062928569306,166.572
577,577,1855920,1855920,1088063262034721,200.180
587,587,1885920,1885920,1088063595958845,199.538
597,597,1915920,1915920,1088063931112058,197.567
607,607,1945920,1945920,1088064261843188,66.504
617,617,1975920,1975920,1088064595336777,66.542
627,627,2005920,2005920,1088064928624328,66.864
637,637,2035920,2035920,1088065262030334,66.724
647,647,2065920,2065920,1088065595329643,66.730
657,657,2095920,2095920,1088065928578389,67.021
667,667,2125920,2125920,1088066262143349,100.179
677,677,2155920,2155920,1088066595088348,100.757
687,687,2185920,2185920,1088066928527865,100.128
697,697,2215920,2215920,1088067262337594,66.187
707,707,2245920,2245920,1088067595597468,67.954
717,717,2275920,2275920,1088067928486427,100.152
727,727,2305920,2305920,1088068261982888,100.285
737,737,2335920,2335920,1088068595392755,100.094
747,747,2365920,2365920,1088068928560447,100.172
757,757,2395920,2395920,1088069262042848,66.676
767,767,2425920,2425920,1088069595414281,100.529
777,777,2455920,2455920,1088069928450732,100.317
787,787,2485920,2485920,1088070262088617,133.375
797,797,2515920,2515920,1088070595189097,133.534
807,807,2545920,2545920,1088070928597232,133.870
817,817,2575920,2575920,1088071262139989,133.572
827,827,2605920,2605920,1088071595479661,166.638
837,837,2635920,2635920,1088071928548177,166.830
847,847,2665920,2665920,1088072261849534,200.282
857,857,2695920,2695920,1088072595140026,200.262
867,867,2725920,2725920,1088072928618000,200.146
877,877,2755920,2755920,1088073261916431,66.815
887,887,2785920,2785920,1088073595212523,200.141
897,897,2815920,2815920,1088073929013989,66.521
907,907,2845920,2845920,1088074262167000,67.012
917,917,2875920,2875920,1088074595318683,67.044
927,927,2905920,2905920,1088074928463103,67.040
937,937,2935920,2935920,1088075262147724,66.842
947,947,2965920,2965920,1088075595751426,66.611
957,957,2995920,2995920,1088075928544641,100.147
967,967,3025920,3025920,1088076261840955,100.469
977,977,3055920,3055920,1088076595269636,100.396
987,987,3085920,3085920,1088076928706556,100.198
997,997,3115920,3115920,1088077266300822,129.353
1007,1007,3145920,3145920,1088077595457044,133.795
1017,1017,3175920,3175920,1088077928691808,133.333
1027,1027,3205920,3205920,1088078262175533,133.544
1037,1037,3235920,3235920,1088078595154858,166.966
1047,1047,3265920,3265920,1088078928428075,166.948
1057,1057,3295920,3295920,1088079261993977,166.918
1067,1067,3325920,3325920,1088079595354656,166.886
1077,1077,3355920,3355920,1088079928650045,166.665
1087,1087,3385920,3385920,1088080261831933,200.213
1097,1097,3415920,3415920,1088080595646504,166.852
1107,1107,3445920,3445920,1088080928659287,166.701
1117,1117,3475920,3475920,1088081261943517,200.251
1127,1127,3505920,3505920,1088081595151050,166.930
1137,1137,3535920,3535920,1088081928936178,200.307
1147,1147,3565920,3565920,1088082262174774,199.954
1157,1157,3595920,3595920,1088082595196559,200.531
1167,1167,3625920,3625920,1088082928482548,66.837
1177,1177,3655920,3655920,1088083262321704,66.558
1187,1187,3685920,3685920,1088083595771183,66.993
1197,1197,3715920,3715920,1088083928590544,66.898
1207,1207,3745920,3745920,1088084261644718,67.135
