wall_ns,uptime_s,rss_kb,video_in,video_out,audio_in,sessions,input_restarts,input_errors,output_errors,bridge_drops,rows_dropped,cc_frames,skew_us,slewed_ms
1790164162138540931,0,22204,0,0,0,0,0,0,0,0,0,0,0,0.0
1790164192082931954,30,25580,881,881,1371,1,0,0,0,0,0,880,-760,54.2
1790164222104515430,60,25592,1782,1782,2780,1,0,0,0,0,0,1781,-697,54.2
1790164252045197272,90,25604,2680,2680,4184,1,0,0,0,0,0,2679,-215,54.2
1790164282087238028,120,25620,3581,3581,5588,1,0,0,0,0,0,3580,-547,54.2
1790164312122516110,150,25620,4482,4482,7004,1,0,0,0,0,0,4481,-9447,54.2
1790164342063191506,180,25620,5380,5380,8402,1,0,0,0,0,0,5379,-873,54.2
1790164372064147209,210,25620,6280,6280,9807,1,0,0,0,0,0,6279,-486,54.2
1790164402101512619,240,25620,7182,7182,11221,1,0,0,0,0,0,7181,-366,54.2
1790164432068030812,270,25624,8081,8081,12626,1,0,0,0,0,0,8080,-345,54.2
1790164462133026435,300,15788,8983,8983,14029,1,0,0,0,0,0,8982,-1440,54.2
1790164492131024752,330,13624,9882,9882,15436,1,0,0,0,0,0,9881,-2281,54.2
1790164522065021324,360,12828,10780,10780,16843,1,0,0,0,0,0,10779,-18366,54.2
1790164552060055177,390,11616,11139,11139,17403,1,1,0,0,0,0,11136,-2754930,272.5
1790164584711869477,422,12820,11142,11142,17403,2,2,0,0,0,0,11139,-4031028,275.5
1790164612040427503,450,14064,11144,11144,17403,3,3,0,0,0,0,11141,-2246118,277.5
1790164642076410507,480,15280,11949,11949,18662,4,3,0,0,0,0,11941,-1063,1076.0
1790164672089615672,510,15320,12895,12895,20138,4,3,0,0,0,0,12842,0,2582.3
1790164702056769515,540,15260,13838,13838,21608,4,3,0,0,0,0,13740,3353,4079.6
1790164732079596200,570,15260,14784,14784,23089,4,3,0,0,0,0,14641,0,5583.9
1790164762122528009,600,15260,15731,15731,24571,4,3,0,0,0,0,15543,0,7087.8
1790164792068572232,630,15260,16674,16674,26038,4,3,0,0,0,0,16441,3650,8580.9
1790164822101045519,660,14352,17620,17620,27524,4,3,0,0,0,0,17342,-5060,10082.1
1790164852130224683,690,14336,18566,18566,29003,4,3,0,0,0,0,18243,0,11587.7
1790164882081075916,720,14300,19509,19509,30469,4,3,0,0,0,0,19141,0,13079.9
1790164912097410058,750,14536,20455,20455,31950,4,3,0,0,0,0,20042,-680,14584.0
1790164942136517742,780,14748,21401,21401,33426,4,3,0,0,0,0,20943,-6986,16086.1
1790164972039402723,810,14168,22343,22343,34897,4,3,0,0,0,0,21840,0,17579.7
1790165002040266378,840,14192,23288,23288,36380,4,3,0,0,0,0,22739,-5415,19171.7
1790165032043570017,870,14752,24233,24233,37852,4,3,0,0,0,0,23639,0,20676.1
1790165062126027226,900,14612,25180,25180,39332,4,3,0,0,0,0,24541,0,22175.6
1790165092111586033,930,14384,26125,26125,40810,4,3,0,0,0,0,25441,-2630,23676.3
1790165122102520410,960,14384,27070,27070,42285,4,3,0,0,0,0,26341,-5625,25176.5
1790165152083587687,990,14384,28014,28014,43763,4,3,0,0,0,0,27240,0,26675.9
1790165182068033766,1020,14148,28959,28959,45235,4,3,0,0,0,0,28140,-107,28173.4
1790165212044521793,1050,14148,29903,29903,46711,4,3,0,0,0,0,29039,1455,29675.1
1790165242120518242,1080,14712,30851,30851,48194,4,3,0,0,0,0,29942,0,31181.6
1790165272103276287,1110,14712,31795,31795,49670,4,3,0,0,0,0,30841,0,32679.8
1790165302084609516,1140,14712,32739,32739,51143,4,3,0,0,0,0,31740,-6387,34173.3
1790165332070521983,1170,14708,33684,33684,52618,4,3,0,0,0,0,32640,2922,35675.6
1790165362058523282,1200,14708,34629,34629,54099,4,3,0,0,0,0,33540,0,37175.3
1790165392044027685,1230,14708,35573,35573,55575,4,3,0,0,0,0,34439,0,38676.5
1790165422046054567,1260,14708,36518,36518,57052,4,3,0,0,0,0,35339,-1781,40172.1
1790165452125268984,1290,14748,37466,37466,58533,4,3,0,0,0,0,36242,-1106,41678.1
1790165482106027835,1320,14748,38410,38410,60004,4,3,0,0,0,0,37141,-1867,43176.9
1790165512084027736,1350,14748,39354,39354,61478,4,3,0,0,0,0,38040,-6941,44676.9
1790165542050951363,1380,14748,40298,40298,62953,4,3,0,0,0,0,38939,-416,46172.4
1790165572130033992,1410,14748,41246,41246,64436,4,3,0,0,0,0,39842,0,47680.2
1790165602106599696,1440,14196,42190,42190,65911,4,3,0,0,0,0,40741,-3935,49176.9
1790165632096543740,1470,14196,43135,43135,67386,4,3,0,0,0,0,41641,-5279,50676.6
