wall_ns,uptime_s,rss_kb,video_in,video_out,audio_in,sessions,input_restarts,input_errors,output_errors,bridge_drops,rows_dropped,cc_frames,skew_us,slewed_ms
1790165680653131292,0,21964,0,0,0,0,0,0,0,0,0,0,0,0.0
1790165710627166492,30,25608,881,881,1371,1,0,0,0,0,0,881,-72,56.3
1790165740579029132,60,25632,1779,1779,2772,1,0,0,0,0,0,1779,-9183,56.3
1790165770565024776,90,25624,2679,2679,4184,1,0,0,0,0,0,2679,-10611,56.3
1790165800566527082,120,25624,3579,3579,5588,1,0,0,0,0,0,3579,-1052,56.4
1790165830647379139,150,25624,4481,4481,6995,1,0,0,0,0,0,4481,-9683,56.4
1790165860618030005,180,25628,5381,5381,8402,1,0,0,0,0,0,5381,-908,56.4
1790165890635031644,210,25572,6281,6281,9807,1,0,0,0,0,0,6281,-9795,56.4
1790165920603515382,240,25556,7180,7180,11213,1,0,0,0,0,0,7180,-227,56.4
1790165950622519516,270,25560,8081,8081,12626,1,0,0,0,0,0,8081,-9813,56.4
1790165980589031447,300,25564,8980,8980,14029,1,0,0,0,0,0,8980,-9055,56.4
1790166010573517046,330,25564,9879,9879,15436,1,0,0,0,0,0,9879,-390,56.4
1790166040590817270,360,25568,10780,10780,16843,1,0,0,0,0,0,10780,-714,56.4
1790166070632514991,390,25568,11681,11681,18246,1,0,0,0,0,0,11681,-304,56.4
1790166100569554172,420,25568,12579,12579,19651,1,0,0,0,0,0,12579,-829,56.4
1790166130608018992,450,25568,13481,13481,21062,1,0,0,0,0,0,13481,-631,56.4
1790166160596555093,480,25252,14380,14380,22463,1,0,0,0,0,0,14380,-801,56.4
1790166190640513658,510,23028,15281,15281,23869,1,0,0,0,0,0,15281,-339,56.4
1790166220584512013,540,23032,16180,16180,25279,1,0,0,0,0,0,16180,-243,56.4
1790166250627026734,570,23032,17081,17081,26683,1,0,0,0,0,0,17081,-1012,56.4
1790166280555747730,600,23032,17979,17979,28090,1,0,0,0,0,0,17979,-7481,56.4
1790166310572514419,630,23032,18879,18879,29494,1,0,0,0,0,0,18879,-8333,56.4
1790166340616511428,660,23032,19781,19781,30905,1,0,0,0,0,0,19781,-271,56.4
1790166370556512791,690,23032,20679,20679,32306,1,0,0,0,0,0,20679,-10409,56.4
1790166400597609324,720,23032,21580,21580,33712,1,0,0,0,0,0,21580,-9059,56.4
1790166430613026964,750,23032,22480,22480,35119,1,0,0,0,0,0,22480,-700,56.4
1790166460547511166,780,20460,23379,23379,36530,1,0,0,0,0,0,23379,-913,56.4
1790166490616024726,810,20460,24281,24281,37938,1,0,0,0,0,0,24281,-576,56.4
1790166520558564659,840,20460,25179,25179,39340,1,0,0,0,0,0,25179,-674,56.4
1790166550603027203,870,20356,26080,26080,40746,1,0,0,0,0,0,26080,-276,56.4
1790166580646515959,900,20356,26982,26982,42156,1,0,0,0,0,0,26982,-507,56.4
1790166610588521172,930,18496,27880,27880,43561,1,0,0,0,0,0,27880,-477,56.4
1790166640634554253,960,17396,28781,28781,44964,1,0,0,0,0,0,28781,-407,56.4
1790166670577024953,990,17236,29680,29680,46372,1,0,0,0,0,0,29680,-603,56.4
1790166700637446877,1020,17604,30581,30581,47780,1,0,0,0,0,0,30581,-674,56.4
1790166730579042355,1050,17604,31480,31480,49184,1,0,0,0,0,0,31480,-726,56.4
1790166760620039259,1080,17604,32381,32381,50591,1,0,0,0,0,0,32381,-312,56.4
1790166790561525022,1110,17604,33279,33279,51996,1,0,0,0,0,0,33279,-9413,56.4
1790166820607606783,1140,17604,34181,34181,53408,1,0,0,0,0,0,34181,-474,56.4
1790166850643026474,1170,17604,35082,35082,54816,1,0,0,0,0,0,35082,-829,56.4
1790166880577021875,1200,17400,35980,35980,56212,1,0,0,0,0,0,35980,-416,56.4
1790166910616025939,1230,17400,36881,36881,57625,1,0,0,0,0,0,36881,-379,56.4
1790166940560514859,1260,17432,37779,37779,59024,1,0,0,0,0,0,37779,-8425,56.4
1790166970606119463,1290,17432,38680,38680,60433,1,0,0,0,0,0,38680,-521,56.4
1790167000630025723,1320,17436,39581,39581,61843,1,0,0,0,0,0,39581,-9769,56.4
1790167030559514039,1350,17436,40479,40479,63248,1,0,0,0,0,0,40479,-446,56.4
1790167060588514087,1380,17436,41380,41380,64650,1,0,0,0,0,0,41380,-9101,56.4
1790167090630553642,1410,17436,42281,42281,66061,1,0,0,0,0,0,42281,-7709,56.4
1790167120572025161,1440,17436,43179,43179,67465,1,0,0,0,0,0,43179,-758,56.4
1790167150612558999,1470,17436,44080,44080,68874,1,0,0,0,0,0,44080,-598,56.4
1790167180554024999,1500,17436,44979,44979,70278,1,0,0,0,0,0,44979,-446,56.4
1790167210595515319,1530,17436,45880,45880,71683,1,0,0,0,0,0,45880,-8037,56.4
1790167240638089930,1560,17436,46781,46781,73096,1,0,0,0,0,0,46781,-7797,56.4
1790167270579525701,1590,16988,47679,47679,74499,1,0,0,0,0,0,47679,-1154,56.4
1790167300587528222,1620,16988,48580,48580,75906,1,0,0,0,0,0,48580,-8105,56.4
1790167330623027124,1650,16988,49481,49481,77309,1,0,0,0,0,0,49481,-599,56.4
1790167360562519583,1680,16988,50379,50379,78713,1,0,0,0,0,0,50379,-419,56.4
1790167390601023550,1710,16988,51280,51280,80121,1,0,0,0,0,0,51280,-479,56.5
1790167420548847100,1740,17032,52179,52179,81530,1,0,0,0,0,0,52179,-873,56.5
1790167450595515978,1770,17032,53080,53080,82933,1,0,0,0,0,0,53080,-577,56.5
1790167480635516044,1800,17032,53981,53981,84341,1,0,0,0,0,0,53981,-523,56.5
1790167510579037796,1830,17032,54880,54880,85744,1,0,0,0,0,0,54880,-413,56.5
1790167540625559318,1860,17032,55781,55781,87157,1,0,0,0,0,0,55781,-363,56.5
1790167570569026477,1890,17032,56679,56679,88554,1,0,0,0,0,0,56679,-533,56.5
1790167600614516348,1920,17032,57581,57581,89965,1,0,0,0,0,0,57581,-518,56.5
1790167630633035569,1950,17032,58481,58481,91376,1,0,0,0,0,0,58481,-736,56.5
1790167660628513490,1980,17032,59381,59381,92782,1,0,0,0,0,0,59381,-303,56.5
1790167690566047552,2010,17032,60279,60279,94178,1,0,0,0,0,0,60279,-430,56.5
1790167720606513371,2040,17032,61181,61180,95596,1,0,0,0,0,0,61181,-590,56.5
1790167750638516140,2070,17032,62081,62081,96997,1,0,0,0,0,0,62081,-622,56.5
1790167780583516095,2100,17012,62980,62980,98400,1,0,0,0,0,0,62980,-344,56.5
1790167810628517941,2130,17012,63881,63881,99809,1,0,0,0,0,0,63881,-491,56.5
1790167840568024469,2160,17012,64779,64779,101212,1,0,0,0,0,0,64779,-9475,56.5
1790167870595515604,2190,17012,65680,65680,102621,1,0,0,0,0,0,65680,-525,56.5
1790167900635513851,2220,16972,66581,66581,104026,1,0,0,0,0,0,66581,-170,56.5
1790167930577511845,2250,16972,67480,67480,105438,1,0,0,0,0,0,67480,-825,56.5
1790167960621514712,2280,16972,68381,68381,106845,1,0,0,0,0,0,68381,-912,56.5
1790167990567026157,2310,16972,69279,69279,108249,1,0,0,0,0,0,69279,-552,56.5
1790168020610751287,2340,17032,70181,70181,109654,1,0,0,0,0,0,70181,-966,56.5
1790168050555025513,2370,17032,71079,71079,111060,1,0,0,0,0,0,71079,-399,56.5
1790168080587519951,2400,17032,71980,71980,112468,1,0,0,0,0,0,71980,-700,56.5
