word	t0_s	t1_s	emit_s
Amen.	128.350	129.510	0.859
Thank	130.640	131.590	1.078
you.	131.990	132.830	1.078
Thank	133.260	133.660	1.223
you.	133.660	134.470	1.223
Thank	150.370	150.910	1.401
you.	150.910	151.820	1.401
Thank	156.890	157.780	1.558
you.	157.780	158.870	1.558
Thank	161.100	161.980	1.784
you.	161.980	163.070	1.784
Thank	165.570	166.000	2.004
you.	166.000	166.970	2.004
Thank	168.990	169.580	2.151
you.	169.580	170.670	2.151
Thank	179.870	180.540	2.614
you.	180.540	181.630	2.614
Thank	183.500	184.340	2.838
you.	184.340	185.350	2.838
Thank	198.840	199.430	3.012
you.	199.430	200.310	3.012
Thank	217.310	217.880	3.195
you.	217.880	218.970	3.195
Thank	224.960	225.560	3.428
you.	225.560	226.650	3.428
Thank	273.050	273.720	3.748
you.	273.720	274.810	3.748
