loop,utt,utt_start_s,utt_end_s,ref_end_s,appear_s,lag_s,words_matched,target
0,2,22.570,30.600,30.009,30.909,0.900,3,gate never opened
0,3,30.600,46.120,45.469,46.286,0.817,3,grounds carriage pair
0,4,46.120,60.795,60.064,61.141,1.077,3,empty corn bags
0,5,60.795,63.435,62.900,63.857,0.957,3,left hand window
0,6,63.435,72.525,71.814,72.665,0.851,3,full coloured rags
0,7,72.525,86.345,85.754,86.675,0.921,3,total loss nose
0,8,86.345,89.045,88.510,89.277,0.767,3,house plain now
0,9,89.045,120.695,120.145,121.505,1.360,3,much body possible
0,10,120.695,135.100,134.590,137.467,2.877,3,latest treddleston gossip
0,11,135.100,165.715,165.085,166.272,1.187,3,shone like jasper
0,12,165.715,181.975,181.424,182.768,1.344,3,shapen light footed
0,13,181.975,198.105,197.475,198.797,1.322,3,suggestion martha mary
0,14,198.105,212.355,211.684,212.635,0.951,3,where left off
0,15,212.355,225.350,224.679,225.631,0.952,3,housemaid unusual severity
0,16,225.350,240.365,239.814,240.934,1.120,3,till milking time
0,17,240.365,242.625,242.211,242.944,0.733,3,time spinning indeed
0,18,242.625,245.460,245.027,246.970,1.943,3,knew equals gallowsness
0,19,245.460,248.615,248.383,249.985,1.602,3,floor like know
0,20,248.615,251.275,251.002,251.998,0.996,2,wool whittaws indeed
0,21,251.275,253.710,253.196,253.946,0.750,3,youd like doing
0,22,253.710,259.045,258.734,259.988,1.254,3,go headlongs ruin
0,23,259.045,261.325,260.911,261.998,1.087,2,mister ottleys indeed
0,24,261.325,266.505,265.973,266.957,0.984,3,after time put
0,25,266.505,271.775,271.164,272.277,1.113,3,put down warm
0,26,271.775,275.370,274.958,276.291,1.333,3,bless sweet face
0,27,275.370,278.195,277.639,279.305,1.666,3,ironing things away
0,28,278.195,283.825,283.354,,,0,see de whittawd
0,29,283.825,290.665,290.113,291.306,1.193,3,carrying away iron
0,30,290.665,299.190,298.500,299.395,0.895,3,fallen blue stream
0,31,299.190,315.310,314.699,315.643,0.944,3,white suckling pig
0,32,315.310,318.090,317.696,319.576,1.880,3,too aunt rachel
0,33,318.090,321.330,321.037,323.601,2.564,3,same sort way
0,34,321.330,334.195,333.523,334.903,1.380,3,sure ive found
0,35,334.195,342.185,341.914,342.694,0.780,3,towelling isnt made
0,36,342.185,345.760,345.288,346.658,1.370,2,aunt said dinah
0,37,345.760,352.675,352.083,352.693,0.610,3,forsake work families
0,38,352.675,363.165,362.594,363.362,0.768,3,according fits calls
0,39,363.165,383.415,382.805,383.624,0.819,3,running help comfort
0,40,383.415,389.695,389.384,390.611,1.227,2,anything ive done
0,41,389.695,392.080,391.544,392.616,1.072,3,preach without direction
0,42,392.080,393.500,393.266,392.616,-0.650,2,without direction direction
0,43,393.500,395.955,395.441,396.575,1.134,2,hanna common patience
0,44,395.955,403.305,402.714,404.250,1.536,3,plain meant come
0,45,403.305,406.825,406.291,407.264,0.973,3,irwine stately cordiality
0,46,406.825,409.830,409.617,411.300,1.683,2,said missus poyser
0,47,409.830,411.735,411.484,414.332,2.848,3,poyser delight kitchen
0,48,411.735,413.945,413.734,414.332,0.598,3,kitchen poyser home
0,49,413.945,420.335,419.864,421.299,1.435,3,open dairy door
0,50,420.335,426.460,425.847,426.980,1.133,3,factor about wool
0,51,426.460,430.505,429.774,430.976,1.202,3,hed any use
0,52,430.505,435.815,435.304,438.157,2.853,3,message about shepherd
0,53,435.815,442.345,441.894,444.537,2.643,3,consultation about horses
0,54,442.345,445.740,445.408,446.329,0.921,3,farm send minute
0,55,445.740,451.420,451.129,452.329,1.200,3,alarmed wouldnt like
0,56,451.420,454.075,453.722,456.355,2.633,3,about than sir
0,57,454.075,457.915,457.301,458.368,1.067,3,turn such place
0,58,457.915,467.995,467.544,468.870,1.326,3,theres kingdom beat
0,59,467.995,472.925,472.354,473.906,1.552,2,dairy missus poyser
