run,lag_seg_p50,lag_seg_p95,lag_seg_max,lag_word_p50,lag_word_p95,lag_word_max,matched_pct,wer_long,rtf,pass_p50_ms,pass_p95_ms,max_pass_ms,max_backlog_ms,vram_peak_mb,rss_peak_mb,cpu_pct,load_s,warmup_s,partial_rev_pct,late_suffix,junk_words
nm-1120,0.688,1.783,1.994,1.112,2.166,2.545,96.6,5.44,0.016,18,20,26,27,3586,1401,33,1.31,0.33,,0,
nm-160,0.113,0.574,0.903,0.695,1.007,1.116,96.6,5.3,0.084,13,15,21,59,3596,1358,304,1.22,0.54,,0,
nm-560,0.333,0.814,0.988,0.842,1.21,1.325,94.8,5.44,0.027,15,17,23,33,3594,1361,66,1.34,0.4,,0,
nm-560-novad,0.304,0.762,0.816,0.838,1.21,1.259,96.6,4.28,0.051,17,62,160,162,3562,1349,70,1.16,0.29,,0,
pk-1000-p2,0.603,3.404,4.498,1.165,3.938,4.749,96.6,4.28,0.167,85,379,562,564,4588,1433,47,1.32,0.55,9.8,0,
pk-500-p2,-0.005,0.413,1.106,0.551,0.894,1.52,98.3,4.64,0.119,58,74,83,83,4630,1442,78,1.22,0.61,14.7,0,
pk-500-p3,0.407,1.9,4.905,0.995,2.113,5.439,96.6,6.17,0.122,60,76,85,85,4622,1444,79,0.83,0.58,12.9,0,
wd-1000-p2,0.661,2.505,4.908,1.187,2.938,5.38,96.6,4.35,0.095,89,124,163,163,1986,790,11,0.51,0.39,4.7,0,
ws-1000-p2,0.577,1.496,2.678,1.154,1.929,2.951,96.6,5.81,0.083,74,140,567,567,1004,789,10,0.26,0.24,8.0,0,
wt-1000-p1,-0.348,0.174,0.448,0.14,0.625,0.69,84.5,12.19,0.11,94,139,1029,1029,2104,794,13,0.39,0.41,0.0,0,
wt-1000-p2,0.589,2.342,2.597,1.133,2.848,2.877,98.3,3.27,0.113,102,147,975,975,2104,789,14,0.7,0.42,8.9,0,27
wt-1000-p2-novad,0.789,2.01,2.378,1.341,2.481,2.629,98.3,4.64,0.112,110,142,751,751,2104,746,13,0.37,0.41,9.1,0,104
wt-1000-p3,1.672,3.371,5.581,2.156,3.878,5.832,98.3,3.7,0.11,99,147,956,956,2104,794,13,0.38,0.41,4.5,0,
wt-2000-p2,2.113,4.289,5.539,2.613,4.642,5.79,98.3,3.05,0.06,105,151,989,989,2104,791,8,0.39,0.28,3.8,0,
wt-500-p2,0.126,0.567,3.12,0.606,1.118,3.672,98.3,3.63,0.209,97,149,1016,1017,2104,791,25,0.54,0.73,9.6,0,
