run,lang,n,ref,chrf,comet,p50,p95,max,ttft_p50,req_p50,req_p95,req_max,out_tok_per_s,load_ms,vram_mib,caps,failures
eurollm17-q8.clauses+asr,de,300,pseudo(gemma4-26b),60.3,,225.2,340.6,439.1,33.3,259.5,388.6,528.0,69.0,666.0,2352,1,fragment-continued=3;too-long=1;untranslated=1
eurollm17-q8.clauses+asr,es,300,pseudo(gemma4-26b),64.9,,221.7,341.1,500.5,33.0,259.5,388.6,528.0,67.0,666.0,2352,1,commentary=1;fragment-continued=1;too-long=2
eurollm17-q8.clauses+asr,fr,300,pseudo(gemma4-26b),61.8,,245.6,382.9,527.0,33.2,259.5,388.6,528.0,69.0,666.0,2352,1,capped:max_tokens=1;commentary=1;fragment-continued=1
eurollm17-q8.clauses+asr,pt,300,pseudo(gemma4-26b),61.8,,218.6,350.6,486.8,33.5,259.5,388.6,528.0,66.0,666.0,2352,1,commentary=2;too-long=1;untranslated=2
eurollm17-q8.clauses,de,300,pseudo(gemma4-26b),60.3,,83.6,122.1,159.1,18.8,93.8,140.4,180.2,184.0,547.0,2352,1,fragment-continued=3;too-long=1;untranslated=1
eurollm17-q8.clauses,es,300,pseudo(gemma4-26b),64.9,,79.9,121.3,175.0,18.5,93.8,140.4,180.2,179.0,547.0,2352,1,commentary=1;fragment-continued=1;too-long=2
eurollm17-q8.clauses,fr,300,pseudo(gemma4-26b),61.8,,87.3,137.1,179.3,18.6,93.8,140.4,180.2,186.0,547.0,2352,1,capped:max_tokens=1;commentary=1;fragment-continued=1
eurollm17-q8.clauses,pt,300,pseudo(gemma4-26b),61.8,,80.8,125.4,164.5,18.9,93.8,140.4,180.2,177.0,547.0,2352,1,commentary=2;too-long=1;untranslated=2
eurollm17-q8.flores,de,500,flores,59.7,,160.0,264.6,387.2,21.0,179.5,292.1,434.5,210.0,541.0,2360,0,
eurollm17-q8.flores,es,500,flores,53.3,,159.5,262.1,409.7,20.7,179.5,292.1,434.5,206.0,541.0,2360,0,
eurollm17-q8.flores,fr,500,flores,66.3,,171.9,287.1,433.0,20.9,179.5,292.1,434.5,211.0,541.0,2360,0,
eurollm17-q8.flores,pt,500,flores,66.2,,156.2,257.7,394.3,21.2,179.5,292.1,434.5,205.0,541.0,2360,0,
gemma4-26b-q4.ref,de,300,pseudo(gemma4-26b),,,186.7,286.2,363.7,61.7,916.1,1319.9,1617.3,80.0,7279.0,17228,0,
gemma4-26b-q4.ref,es,300,pseudo(gemma4-26b),,,176.0,265.6,314.5,61.9,916.1,1319.9,1617.3,77.0,7279.0,17228,0,
gemma4-26b-q4.ref,fr,300,pseudo(gemma4-26b),,,196.9,280.3,356.9,62.2,916.1,1319.9,1617.3,81.0,7279.0,17228,0,
gemma4-26b-q4.ref,pt,300,pseudo(gemma4-26b),,,183.7,272.6,351.7,62.1,916.1,1319.9,1617.3,78.0,7279.0,17228,0,
gemma4-26b-q4.ref,zh,300,pseudo(gemma4-26b),,,166.5,247.1,305.5,61.3,916.1,1319.9,1617.3,74.0,7279.0,17228,0,
gemma4-e2b-q4.clauses+asr,de,300,pseudo(gemma4-26b),64.7,,349.2,571.6,723.9,55.6,395.2,606.4,872.5,40.0,1428.0,2342,0,
gemma4-e2b-q4.clauses+asr,es,300,pseudo(gemma4-26b),73.3,,339.4,545.3,794.5,55.0,395.2,606.4,872.5,38.0,1428.0,2342,0,
gemma4-e2b-q4.clauses+asr,fr,300,pseudo(gemma4-26b),68.8,,364.7,576.1,871.6,55.3,395.2,606.4,872.5,40.0,1428.0,2342,0,
gemma4-e2b-q4.clauses+asr,pt,300,pseudo(gemma4-26b),70.7,,345.0,565.7,795.2,55.9,395.2,606.4,872.5,38.0,1428.0,2342,0,
gemma4-e2b-q4.clauses,de,300,pseudo(gemma4-26b),64.7,,134.5,206.7,257.3,29.6,147.1,220.1,294.0,105.0,1057.0,2342,0,
gemma4-e2b-q4.clauses,es,300,pseudo(gemma4-26b),73.3,,129.2,192.3,271.7,29.0,147.1,220.1,294.0,102.0,1057.0,2342,0,
gemma4-e2b-q4.clauses,fr,300,pseudo(gemma4-26b),68.8,,139.1,207.3,293.1,29.3,147.1,220.1,294.0,106.0,1057.0,2342,0,
gemma4-e2b-q4.clauses,pt,300,pseudo(gemma4-26b),70.7,,131.6,203.3,272.3,29.9,147.1,220.1,294.0,102.0,1057.0,2342,0,
gemma4-e2b-q4.flores,de,500,flores,61.7,,279.8,455.4,666.6,33.4,300.5,473.0,776.9,121.0,1077.0,2342,0,
gemma4-e2b-q4.flores,es,500,flores,53.8,,264.5,442.7,726.5,32.8,300.5,473.0,776.9,118.0,1077.0,2342,0,
gemma4-e2b-q4.flores,fr,500,flores,68.0,,289.2,458.3,760.8,33.1,300.5,473.0,776.9,121.0,1077.0,2342,0,
gemma4-e2b-q4.flores,pt,500,flores,69.7,,274.7,430.7,775.0,33.7,300.5,473.0,776.9,117.0,1077.0,2342,0,
gemma4-e4b-q4.clauses+asr,de,300,pseudo(gemma4-26b),70.6,,471.9,756.7,945.9,79.3,525.4,807.9,980.2,31.0,1898.0,3986,0,
gemma4-e4b-q4.clauses+asr,es,300,pseudo(gemma4-26b),75.6,,441.2,719.2,970.5,78.7,525.4,807.9,980.2,30.0,1898.0,3986,0,
