loop,utt,utt_start_s,utt_end_s,ref_end_s,appear_s,lag_s,words_matched,target
0,2,22.570,30.600,30.009,30.967,0.958,3,gate never opened
0,3,30.600,46.120,45.469,46.367,0.898,3,grounds carriage pair
0,4,46.120,60.795,60.064,61.100,1.036,3,empty corn bags
0,5,60.795,63.435,62.900,63.933,1.033,3,left hand window
0,6,63.435,72.525,71.814,72.733,0.919,3,full coloured rags
0,7,72.525,86.345,85.754,86.800,1.046,3,total loss nose
0,8,86.345,89.045,88.510,89.533,1.023,3,house plain now
0,9,89.045,120.695,120.145,121.033,0.888,3,much body possible
0,10,120.695,135.100,134.590,135.667,1.077,3,latest treddleston gossip
0,11,135.100,165.715,165.085,166.000,0.915,3,shone like jasper
0,12,165.715,181.975,181.424,182.367,0.943,2,shapen light footed
0,13,181.975,198.105,197.475,198.467,0.992,3,suggestion martha mary
0,14,198.105,212.355,211.684,212.500,0.816,3,where left off
0,15,212.355,225.350,224.679,225.800,1.121,3,housemaid unusual severity
0,16,225.350,240.365,239.814,240.500,0.686,3,till milking time
0,17,240.365,242.625,242.211,243.100,0.889,3,time spinning indeed
0,18,242.625,245.460,245.027,246.633,1.606,3,knew equals gallowsness
0,19,245.460,248.615,248.383,249.300,0.917,3,floor like know
0,20,248.615,251.275,251.002,252.033,1.031,2,wool whittaws indeed
0,21,251.275,253.710,253.196,253.633,0.437,2,youd like doing
0,22,253.710,259.045,258.734,259.500,0.766,3,go headlongs ruin
0,23,259.045,261.325,260.911,,,0,mister ottleys indeed
0,24,261.325,266.505,265.973,266.400,0.427,3,after time put
0,25,266.505,271.775,271.164,272.167,1.003,3,put down warm
0,26,271.775,275.370,274.958,276.667,1.709,3,bless sweet face
0,27,275.370,278.195,277.639,278.500,0.861,3,ironing things away
0,28,278.195,283.825,283.354,,,0,see de whittawd
0,29,283.825,290.665,290.113,291.033,0.920,3,carrying away iron
0,30,290.665,299.190,298.500,299.533,1.033,3,fallen blue stream
0,31,299.190,315.310,314.699,315.833,1.134,3,white suckling pig
0,32,315.310,318.090,317.696,318.567,0.871,3,too aunt rachel
0,33,318.090,321.330,321.037,321.767,0.730,3,same sort way
0,34,321.330,334.195,333.523,334.133,0.610,3,sure ive found
0,35,334.195,342.185,341.914,343.033,1.119,3,towelling isnt made
0,36,342.185,345.760,345.288,346.267,0.979,2,aunt said dinah
0,37,345.760,352.675,352.083,353.067,0.984,3,forsake work families
0,38,352.675,363.165,362.594,363.033,0.439,3,according fits calls
0,39,363.165,383.415,382.805,383.767,0.962,3,running help comfort
0,40,383.415,389.695,389.384,390.267,0.883,2,anything ive done
0,41,389.695,392.080,391.544,392.533,0.989,3,preach without direction
0,42,392.080,393.500,393.266,392.533,-0.733,2,without direction direction
0,43,393.500,395.955,395.441,396.000,0.559,2,hanna common patience
0,44,395.955,403.305,402.714,403.467,0.753,3,plain meant come
0,45,403.305,406.825,406.291,407.367,1.076,3,irwine stately cordiality
0,46,406.825,409.830,409.617,410.600,0.983,3,said missus poyser
0,47,409.830,411.735,411.484,412.467,0.983,3,poyser delight kitchen
0,48,411.735,413.945,413.734,414.167,0.433,3,kitchen poyser home
0,49,413.945,420.335,419.864,420.800,0.936,3,open dairy door
0,50,420.335,426.460,425.847,426.933,1.086,3,factor about wool
0,51,426.460,430.505,429.774,430.800,1.026,2,hed any use
0,52,430.505,435.815,435.304,436.267,0.963,3,message about shepherd
0,53,435.815,442.345,441.894,442.833,0.939,3,consultation about horses
0,54,442.345,445.740,445.408,446.367,0.959,3,farm send minute
0,55,445.740,451.420,451.129,451.733,0.604,2,alarmed wouldnt like
0,56,451.420,454.075,453.722,454.700,0.978,3,about than sir
0,57,454.075,457.915,457.301,458.333,1.032,3,turn such place
0,58,457.915,467.995,467.544,468.367,0.823,2,theres kingdom beat
0,59,467.995,472.925,472.354,473.533,1.179,3,dairy missus poyser
0,60,472.925,482.935,482.364,483.333,0.969,3,opinion appearance dairy
0,61,482.935,485.645,485.363,486.300,0.937,3,doubt capital order
1,1,485.645,508.215,507.464,,,0,windows door place
1,2,508.215,516.245,515.654,516.600,0.946,3,gate never opened
1,3,516.245,531.765,531.114,532.067,0.953,3,grounds carriage pair
1,4,531.765,546.440,545.709,546.633,0.924,3,empty corn bags
1,5,546.440,549.080,548.545,549.467,0.922,3,left hand window
1,6,549.080,558.170,557.459,558.467,1.008,3,full coloured rags
1,7,558.170,571.990,571.399,572.367,0.968,3,total loss nose
1,8,571.990,574.690,574.155,575.100,0.945,3,house plain now
